Wavelength,Flux,BestFit,SkyFlux
4103.930,0.652,0.886,3.109
4104.876,1.752,0.927,3.088
4105.821,1.260,0.963,3.249
4106.768,0.715,0.994,3.552
4107.712,1.111,1.022,3.452
4108.657,0.978,1.048,3.427
4109.605,2.042,1.074,3.555
4110.550,1.799,1.099,3.390
4111.498,1.069,1.121,3.621
4112.444,1.107,1.138,3.450
4113.392,1.582,1.152,3.332
4114.338,1.377,1.162,3.190
4115.285,2.134,1.169,3.573
4116.234,1.414,1.175,3.782
4117.181,1.381,1.181,3.521
4118.130,1.293,1.191,3.493
4119.078,0.909,1.201,3.348
4120.027,1.977,1.210,3.296
4120.975,0.982,1.215,3.452
4121.923,0.294,1.218,3.588
4122.874,0.221,1.219,3.825
4123.822,0.876,1.219,4.422
4124.773,1.392,1.218,4.067
4125.722,0.709,1.216,4.233
4126.673,2.102,1.215,3.965
4127.623,1.783,1.216,4.104
4128.572,1.020,1.223,4.155
4129.524,1.207,1.233,4.204
4130.474,1.478,1.246,4.038
4131.427,0.451,1.261,4.271
4132.377,1.492,1.275,3.712
4133.330,1.789,1.290,3.743
4134.281,1.385,1.304,4.290
4135.232,1.380,1.315,4.255
4136.186,1.389,1.320,4.234
4137.137,0.286,1.318,4.337
4138.091,1.301,1.310,4.159
4139.043,0.896,1.301,4.165
4139.998,0.834,1.293,4.250
4140.950,1.207,1.290,4.184
4141.903,1.451,1.291,3.775
4142.858,1.962,1.296,3.717
4143.811,0.864,1.302,3.277
4144.766,1.209,1.309,3.589
4145.720,1.645,1.312,3.210
4146.676,1.509,1.312,3.491
4147.630,1.372,1.308,3.439
4148.584,1.569,1.303,3.450
4149.541,1.432,1.297,3.416
4150.495,1.223,1.291,3.515
4151.452,1.501,1.287,3.656
4152.407,1.969,1.285,3.561
4153.365,1.590,1.287,3.443
4154.320,0.210,1.292,3.929
4155.276,1.053,1.298,4.044
4156.234,1.074,1.305,4.435
4157.190,1.260,1.310,4.689
4158.149,1.552,1.315,4.534
4159.106,1.032,1.319,4.226
4160.065,0.157,1.321,4.296
4161.022,0.700,1.322,4.334
4161.979,1.096,1.323,4.330
4162.939,1.028,1.324,4.381
4163.896,1.536,1.322,4.870
4164.857,1.809,1.316,5.313
4165.815,-0.051,1.305,5.946
4166.775,2.198,1.290,5.302
4167.734,1.289,1.276,5.404
4168.693,1.319,1.264,5.429
4169.654,1.850,1.256,5.200
4170.613,1.002,1.251,5.257
4171.575,1.440,1.251,5.315
4172.535,1.045,1.254,4.995
4173.497,1.271,1.260,4.709
4174.457,1.513,1.264,4.827
4175.417,1.745,1.268,4.227
4176.380,1.662,1.274,4.615
4177.341,0.471,1.281,4.540
4178.304,1.426,1.288,4.452
4179.265,0.844,1.295,4.846
4180.229,1.062,1.299,4.792
4181.191,1.580,1.299,4.246
4182.155,1.087,1.298,4.012
4183.117,1.362,1.297,4.147
4184.079,1.433,1.299,3.964
4185.044,1.554,1.301,3.905
4186.007,2.009,1.307,3.863
4186.972,1.714,1.317,3.714
4187.935,0.810,1.328,3.962
4188.901,1.589,1.336,3.333
4189.865,1.458,1.338,3.663
4190.829,2.056,1.334,3.586
4191.795,1.887,1.325,3.492
4192.759,1.535,1.313,3.654
4193.726,1.756,1.301,3.598
4194.691,1.073,1.290,3.869
4195.658,1.736,1.284,3.842
4196.624,0.880,1.283,3.731
4197.589,0.554,1.286,3.510
4198.557,1.201,1.292,3.405
4199.523,1.375,1.299,3.196
4200.491,0.798,1.306,3.350
4201.457,1.120,1.314,3.355
4202.426,0.996,1.320,3.590
4203.393,1.372,1.325,3.265
4204.360,1.615,1.327,3.271
4205.330,1.143,1.329,3.077
4206.297,1.630,1.331,3.348
4207.267,1.824,1.332,3.527
4208.235,1.542,1.331,3.882
4209.205,1.109,1.327,3.725
4210.174,1.653,1.324,3.923
4211.142,2.582,1.319,3.619
4212.113,1.196,1.315,3.445
4213.082,1.599,1.312,3.278
4214.054,0.940,1.312,3.562
4215.023,0.604,1.315,3.552
4215.995,1.249,1.318,3.473
4216.965,1.930,1.320,3.280
4217.935,1.934,1.318,3.347
4218.908,1.215,1.311,3.396
4219.878,1.738,1.298,2.973
4220.851,1.130,1.283,3.190
4221.822,0.331,1.272,3.232
4222.796,1.435,1.268,3.388
4223.767,2.074,1.271,3.121
4224.739,0.170,1.282,3.321
4225.713,0.744,1.296,3.255
4226.685,1.195,1.309,2.968
4227.660,0.852,1.314,2.881
4228.633,1.014,1.310,2.981
4229.608,0.720,1.301,2.902
4230.581,1.009,1.294,3.172
4231.554,1.151,1.291,3.064
4232.530,1.459,1.293,3.378
4233.504,2.029,1.300,3.547
4234.480,2.027,1.307,3.531
4235.454,0.880,1.313,3.483
4236.431,2.003,1.316,3.611
4237.405,1.938,1.319,3.450
4238.380,1.499,1.320,3.254
4239.357,1.281,1.320,3.292
4240.333,1.114,1.317,3.283
4241.310,1.546,1.312,3.159
4242.286,0.742,1.304,3.165
4243.264,1.639,1.296,3.001
4244.241,1.717,1.289,3.234
4245.217,1.108,1.284,3.441
4246.196,1.573,1.286,3.518
4247.173,1.442,1.292,4.408
4248.152,1.380,1.299,4.523
